211,徳永進 / 岩波書店
212,"価格：1,100円 → 221円"
213,「働くこと」についてのエッセイ集
214,最低で最高の本屋
215,松浦弥太郎 / 集英社
216,価格：586円 → 110円
217,初の本格的音楽エッセイ
218,意味がなければスイングはない
219,村上春樹 / 文藝春秋
220,価格：597円 → 110円
221,村上春樹が語る村上春樹の世界
222,夢を見るために毎朝僕は目覚めるのです　村上春樹インタビュー集１９９７－２０１１
223,村上春樹 / 文藝春秋
224,価格：880円 → 171円
225,歴史
227,権益の侵（町奉行内与力奮闘記３）
228,上田秀人 / 幻冬舎
229,価格：715円 → 139円
230,第7回本屋大賞受賞作
231,天地明察
232,冲方丁 / 角川書店
233,価格：607円 → 139円
235,三国志読本
236,北方謙三 / 角川春樹事務所
237,価格：628円 → 171円
239,泣き童子　三島屋変調百物語参之続
240,宮部みゆき / 角川書店
241,価格：836円 → 399円
242,全く新しい歴史小説
243,忍びの国
244,和田竜 / 新潮社
245,価格：607円 → 110円
246,ファンタジー
247,マジカルサスペンスバトル
248,魔法少女育成計画ＡＣＥＳ
249,遠藤浅蜊 / 宝島社
250,価格：748円 → 139円
251,超話題のゲームとリンク
252,神獄塔メアリスケルター
253,乙野四方字 / ＫＡＤＯＫＡＷＡ
254,価格：627円 → 110円
255,鎌池キャラ大集合小説
256,とある魔術のヘヴィーな座敷童が簡単な殺人妃の婚活事情
257,鎌池和馬 / ＫＡＤＯＫＡＷＡ
258,価格：715円 → 110円
260,かんぱに☆ガールズ　社長！！またまた出撃のお時間です！
261,神代創 / ＫＡＤＯＫＡＷＡ
262,価格：748円 → 110円
264,ブラス・オブ・シェルオール
265,是鐘リュウジ / ＫＡＤＯＫＡＷＡ
266,価格：638円 → 110円
268,最後の魔王の戦記
269,紺野アスタ / 講談社
270,価格：704円 → 110円
272,再び始まる反救世譚（エスカトラ）
273,上智一麻 / ＫＡＤＯＫＡＷＡ
274,価格：638円 → 110円
275,知謀系異世界ファンタジー
276,ラエティティア覇竜戦記　神王のゲーム
277,すえばしけん / ホビージャパン
278,価格：702円 → 110円
280,魔術楽譜（グリモワール）の盾
281,花間灯 / ＫＡＤＯＫＡＷＡ
282,価格：638円 → 110円
283,第26回冬期ファンタジア大賞・金賞
284,死線世界の追放者（リジェクター）
285,ミズノアユム / ＫＡＤＯＫＡＷＡ
286,価格：638円 → 110円
287,覇道戦記ファンタジー
288,覇剣の皇姫アルティーナ　小綺譚
289,むらさきゆきや / ＫＡＤＯＫＡＷＡ
290,価格：638円 → 110円
292,ラスト・フェニックス
293,諸星崇 / ＫＡＤＯＫＡＷＡ
294,価格：682円 → 110円
295,第2回ラノベ文芸賞金賞
296,紅霞後宮物語
297,雪村花菜 / ＫＡＤＯＫＡＷＡ
298,価格：638円 → 110円
299,第26回ファンタジア大賞・準大賞
300,１００万回死んでも少女は死体回収屋の苦労を知らない
301,割石裂 / ＫＡＤＯＫＡＷＡ
302,価格：638円 → 110円
303,学園
305,魔法使いは超能力者を殺せるか　サイ＆ソーサリィ
306,安道やすみち / 講談社
307,価格：704円 → 110円
309,花×華
310,岩田洋季 / アスキー・メディアワークス
311,価格：649円 → 110円
312,第5回NJ大賞　銀賞
313,僕の妹は漢字が読める
314,かじいたかし / ホビージャパン
315,価格：681円 → 110円
316,第5回ライトノベル新人賞佳作
317,オトコを見せてよ倉田くん！
318,斉藤真也 / メディアファクトリー
319,価格：638円 → 110円
321,この中に１人、妹がいる！
322,田口一 / メディアファクトリー
323,価格：638円 → 110円
325,ジョシコーセーの成分。－ＳＣＨＯＯＬ　ＧＩＲＬ　ＯＶＥＲＦＬＯＷ－
326,ハセガワケイスケ / アスキー・メディアワークス
327,価格：627円 → 110円
329,おまえをオタクにしてやるから、俺をリア充にしてくれ！　小豆エンド
330,村上凛 / ＫＡＤＯＫＡＷＡ
331,価格：660円 → 110円
332,コメディ
333,ロリポップ・コメディ
334,天使の３Ｐ！
335,蒼山サグ / アスキー・メディアワークス
336,価格：561円 → 110円
337,痛快ソシャゲバトル
338,戦極ヤヲヨロズ
339,内田俊 / ＫＡＤＯＫＡＷＡ
340,価格：638円 → 110円
342,伝説兄妹！
343,おかもと〈仮〉 / 宝島社
344,価格：503円 → 110円
345,トライアングルラブコメ
346,いもうとがかり
347,月見草平 / メディアファクトリー
348,価格：638円 → 110円
350,私とあなたの青春革命。
351,広沢サカキ / アスキー・メディアワークス
352,価格：671円 → 110円
353,ＳＦ
354,星屑と蒸気の冒険譚
355,流星（ほし）生まれのスピカ
356,兎月竜之介 / 集英社
357,価格：671円 → 110円
358,火星戦記
359,マーシアン・ウォースクール
360,エドワード・スミス / ＫＡＤＯＫＡＷＡ
361,価格：671円 → 110円
362,アニメ化
363,革命機ヴァルヴレイヴ
364,乙野四方字 / アスキー・メディアワークス
365,価格：671円 → 110円
367,ワールドエンドライツ
368,花房牧生 / ホビージャパン
369,価格：681円 → 110円
370,外国人おすすめ作家
371,記念すべき第一作
372,シャーロック・ホームズ全集(1)－緋色の習作－
373,アーサー・コナン・ドイル / 河出書房新社
374,価格：715円 → 171円
375,著者の代表作
376,オリエント急行の殺人－クリスティー文庫－　（ポアロシリーズ８）
377,アガサ・クリスティ / 早川書房
378,価格：748円 → 447円
380,不当逮捕
381,ナンシー・テイラー・ローゼンバーグ / 講談社
382,"価格：1,089円 → 110円"
384,ＣＳＩ：科学捜査班－コールド・バーン－
385,マックス・アラン・コリンズ / 角川書店
386,価格：776円 → 110円
388,背信の海
389,ルアン・ライス / 集英社
390,価格：922円 → 110円
391,その他ジャンル
392,歴史的ベストセラー
393,人を動かす
394,Ｄ・カーネギー / 創元社
395,価格：715円 → 447円
396,皆でレッツ“ふむふむ”!
397,ふむふむ
398,三浦しをん / 新潮社
399,価格：649円 → 139円
401,娘の味
402,阿川佐和子 / 新潮社
403,価格：506円 → 139円
404,最高峰の思考術
405,ハーバード式脱暗記型思考術
406,石角友愛 / 新潮社
407,価格：539円 → 139円
408,60万部のベストセラーの文庫化
409,スタンフォードの自分を変える教室
410,ケリー・マクゴニガル / 大和書房
411,価格：814円 → 171円
